Brand/Title,Platform,Date,Campaign,Optimization,Change(s),Optimization Score,Results/Next step,Date Change(s) was made,Optimization made by
Vector Partners,Bing,2024-01-14,NGX_Conversion_Value_Apr22,Decreased bid for age group 55-64 by -5%,Modified CPC target from $5 to $6,86%,Under observation,2024-01-14,John D.
Beta International,SEM,2024-08-26,FX_Awareness_Value_Mar23,Paused ad group Group 2 due to high CPA,Updated campaign targeting settings,94%,Under observation,2024-08-26,Alex K.
Peak Technologies,SEM,2024-04-26,XF_Brand_Premium_May24,Added 24 negative keywords,Created 3 new ad groups,94%,Under observation,2024-04-26,Alex K.
Core Select,Social,2023-12-18,WWJ_Conversion_Seasonal_Aug24,Created 4 new ad variations for testing,Updated ad copy and CTAs,98%,Under observation,2023-12-18,Emma L.
Core Select,Social,2024-03-18,WWJ_Brand_General_Mar23,Added 19 negative keywords,Created 3 new ad groups,86%,Under observation,2024-03-18,Emma L.
Vector Direct,Social,2024-03-27,NRI_Awareness_Value_Oct24,Created 2 new ad variations for testing,Updated ad copy and CTAs,96%,Under observation,2024-03-27,Sarah M.
Nexus International,Bing,2024-11-02,EF_Prospecting_Seasonal_Feb22,Paused creative Version 1 and launched new variant,Created 3 new ad variations,91%,Under observation,2024-11-02,Mike R.
Omega Global,Bing,2024-02-29,PDD_Retargeting_Special_Apr23,Added 40 negative keywords,Added 25 negative keywords,91%,Under observation,2024-02-29,Sarah M.
Peak Technologies,Bing,2024-07-19,XF_Retargeting_Value_Q124,Created 4 new ad variations for testing,Updated ad copy and CTAs,96%,Under observation,2024-07-19,Emma L.
Sigma Solutions,SEM,2024-05-05,CL_Awareness_Premium_Apr22,Created 5 new ad variations for testing,Created 3 new ad variations,92%,Implemented successfully,2024-05-05,John D.
Beta Media,SEM,2024-02-10,VBI_Engagement_Seasonal_Q422,Adjusted daily budget from $294 to $391,Daily budget adjusted from $200 to $300,100%,Under observation,2024-02-10,Mike R.
Beta Media,SEM,2024-07-16,VBI_Awareness_General_Jun23,Created 3 new ad variations for testing,Created 3 new ad variations,100%,Under observation,2024-07-16,Alex K.
Nexus International,SEM,2024-10-31,EF_Brand_Value_Aug22,Increased bid for top performing keywords by 20%,"Previous bid: $1.50, New bid: $2.00",92%,Under observation,2024-10-31,Sarah M.
Gamma Brand,SEM,2024-06-02,PA_Engagement_Seasonal_May24,Created 5 new ad variations for testing,Created 3 new ad variations,85%,Under observation,2024-06-02,Emma L.
Gamma Brand,Social,2024-08-24,GDC_Retargeting_Special_Jul23,Updated CPA target from $42 to $33,Daily budget adjusted from $200 to $300,89%,Under observation,2024-08-24,Alex K.
Vector Direct,Social,2024-04-08,NRI_Engagement_Premium_May24,Updated CPA target from $71 to $78,Daily budget adjusted from $200 to $300,92%,Under observation,2024-04-08,John D.
Alpha Group,Social,2024-06-05,SB_Conversion_Special_Jul22,Created 2 new ad variations for testing,Created 3 new ad variations,90%,Under observation,2024-06-05,Emma L.
Prime Direct,SEM,2024-03-20,UWK_Retargeting_Value_Jul22,Adjusted Desktop device bid by -5%,"Previous bid: $1.50, New bid: $2.00",87%,Under observation,2024-03-20,Mike R.
Alpha Group,SEM,2023-12-02,EJ_Brand_General_Nov22,Adjusted daily budget from $485 to $464,Redistributed budget across campaigns,87%,Under observation,2023-12-02,Alex K.
Vector Partners,Bing,2024-06-07,NGX_Prospecting_Special_Q122,Adjusted daily budget from $356 to $481,Redistributed budget across campaigns,86%,Under observation,2024-06-07,Sarah M.
Beta Global,SEM,2024-05-09,BPN_Retargeting_Value_Nov23,Created 5 new ad variations for testing,Updated ad copy and CTAs,92%,Under observation,2024-05-09,Emma L.
Apex Systems,Bing,2024-01-06,WZH_Conversion_Seasonal_May24,Paused creative Version 1 and launched new variant,Created 3 new ad variations,93%,Under observation,2024-01-06,Sarah M.
Echo Ventures,SEM,2024-01-17,ESJ_Retargeting_Seasonal_Feb24,Updated CPA target from $76 to $66,Redistributed budget across campaigns,88%,Under observation,2024-01-17,Sarah M.
Apex Systems,SEM,2024-01-15,WZH_Awareness_Value_Apr23,Created 2 new ad variations for testing,Updated ad copy and CTAs,97%,Under observation,2024-01-15,Emma L.
Echo Ventures,Bing,2024-09-11,ESJ_Conversion_Premium_Q124,Added 34 negative keywords,Added 25 negative keywords,89%,Under observation,2024-09-11,Mike R.
Core Global,Social,2024-02-17,AYN_Prospecting_Value_Oct24,Decreased bid for age group 35-44 by -10%,"Previous bid: $1.50, New bid: $2.00",96%,Under observation,2024-02-17,Sarah M.
Core Global,SEM,2024-01-17,AYN_Conversion_Value_Apr23,Paused creative Version 4 and launched new variant,Updated ad copy and CTAs,97%,Implemented successfully,2024-01-17,Mike R.
Iris Enterprises,Bing,2024-10-22,YCZ_Conversion_Special_Q123,Created 4 new ad variations for testing,Created 3 new ad variations,100%,Under observation,2024-10-22,Emma L.
Peak Technologies,SEM,2024-09-13,XF_Retargeting_Value_Feb22,Created 4 new ad variations for testing,Updated ad copy and CTAs,96%,Under observation,2024-09-13,Alex K.
Sigma Corp,Bing,2024-07-17,PZR_Engagement_General_Jul22,Decreased bid for age group 35-44 by -5%,"Previous bid: $1.50, New bid: $2.00",98%,Under observation,2024-07-17,Sarah M.
Omega Global,SEM,2024-10-26,PDD_Engagement_General_Apr23,Updated CPA target from $68 to $29,Redistributed budget across campaigns,100%,Under observation,2024-10-26,Alex K.
Nova Technologies,Bing,2024-05-26,BRI_Brand_Seasonal_Q424,Adjusted Tablet device bid by 15%,"Previous bid: $1.50, New bid: $2.00",88%,Implemented successfully,2024-05-26,Mike R.
Alpha Corp,Social,2024-05-11,BF_Awareness_Premium_Oct23,Paused creative Version 1 and launched new variant,Updated ad copy and CTAs,92%,Under observation,2024-05-11,Alex K.
Gamma Direct,Social,2024-06-11,HP_Retargeting_General_Mar24,Adjusted daily budget from $276 to $112,Redistributed budget across campaigns,88%,Under observation,2024-06-11,John D.
Gamma Ventures,Social,2024-05-01,QK_Retargeting_Special_Q223,Adjusted daily budget from $366 to $347,Redistributed budget across campaigns,100%,Under observation,2024-05-01,Emma L.
Peak Technologies,Bing,2023-12-16,XF_Awareness_Value_Jun23,Adjusted daily budget from $275 to $431,Daily budget adjusted from $200 to $300,90%,Implemented successfully,2023-12-16,Sarah M.
Vector Direct,Bing,2024-05-11,NRI_Engagement_Special_Q222,Created 3 new ad groups with focused keywords,Created 3 new ad groups,90%,Under observation,2024-05-11,Emma L.
Beta International,Bing,2024-07-11,FX_Engagement_Special_Q222,Created 2 new ad groups with focused keywords,Updated campaign targeting settings,91%,Under observation,2024-07-11,John D.
Sigma Media,SEM,2024-05-08,RG_Awareness_Value_May23,Adjusted daily budget from $234 to $443,Redistributed budget across campaigns,95%,Under observation,2024-05-08,Alex K.
Beta International,Social,2024-05-22,FX_Engagement_Seasonal_May24,Adjusted daily budget from $444 to $461,Redistributed budget across campaigns,87%,Under observation,2024-05-22,Mike R.
Gamma Ventures,SEM,2024-01-22,QK_Prospecting_General_Feb22,Adjusted daily budget from $361 to $298,Redistributed budget across campaigns,89%,Under observation,2024-01-22,Emma L.
Core Select,SEM,2024-09-03,WWJ_Conversion_Value_Q124,Created 3 new ad groups with focused keywords,Added 25 negative keywords,95%,Implemented successfully,2024-09-03,Alex K.
Nexus International,SEM,2024-07-29,EF_Prospecting_Seasonal_Sep24,Decreased bid for age group 55-64 by -5%,Modified CPC target from $5 to $6,100%,Under observation,2024-07-29,Emma L.
Atlas Industries,SEM,2024-02-17,FR_Conversion_General_Dec23,Paused creative Version 2 and launched new variant,Updated ad copy and CTAs,86%,Under observation,2024-02-17,Alex K.
Echo Brand,Bing,2024-09-08,BW_Retargeting_General_Mar24,Created 2 new ad variations for testing,Created 3 new ad variations,93%,Implemented successfully,2024-09-08,Mike R.
Alpha Group,SEM,2024-08-29,GE_Awareness_Premium_Q124,Paused creative Version 2 and launched new variant,Updated ad copy and CTAs,86%,Under observation,2024-08-29,Mike R.
Iris Group,SEM,2024-03-24,YC_Brand_Seasonal_Q424,Adjusted Tablet device bid by 15%,Adjusted age targeting by +10%,98%,Under observation,2024-03-24,Sarah M.
Alpha Industries,Social,2024-09-10,YD_Engagement_Special_Sep23,Decreased bid for age group 55-64 by -5%,"Previous bid: $1.50, New bid: $2.00",95%,Implemented successfully,2024-09-10,Mike R.
Echo Brand,Social,2024-02-01,BW_Prospecting_Seasonal_Q224,Decreased bid for age group 65+ by -15%,Modified CPC target from $5 to $6,89%,Under observation,2024-02-01,Mike R.
Vector Partners,Bing,2024-02-04,NGX_Engagement_Special_Jun24,Created 5 new ad variations for testing,Updated ad copy and CTAs,99%,Under observation,2024-02-04,John D.
Beta International,Social,2024-07-13,FX_Retargeting_Value_Feb22,Adjusted daily budget from $496 to $475,Daily budget adjusted from $200 to $300,99%,Under observation,2024-07-13,Mike R.
Beta Global,SEM,2024-06-30,BPN_Retargeting_General_Apr22,Created 4 new ad groups with focused keywords,Created 3 new ad groups,95%,Under observation,2024-06-30,Sarah M.
Core Global,SEM,2023-12-17,AYN_Prospecting_Premium_Q323,Decreased bid for age group 18-24 by -15%,"Previous bid: $1.50, New bid: $2.00",99%,Under observation,2023-12-17,Emma L.
Sigma Corp,Social,2024-02-13,PZR_Engagement_Value_Q322,Updated CPA target from $52 to $30,Redistributed budget across campaigns,90%,Under observation,2024-02-13,Mike R.
Gamma Direct,SEM,2024-11-18,HP_Brand_Value_Jan22,Increased bid for top performing keywords by 20%,"Previous bid: $1.50, New bid: $2.00",89%,Under observation,2024-11-18,Alex K.
Iris Enterprises,Social,2024-11-14,YCZ_Prospecting_Special_Q423,Increased bid for top performing keywords by 20%,Modified CPC target from $5 to $6,89%,Under observation,2024-11-14,Sarah M.
Echo Ventures,Social,2024-01-15,ESJ_Awareness_Premium_Apr22,Decreased bid for age group 25-34 by -10%,"Previous bid: $1.50, New bid: $2.00",89%,Under observation,2024-01-15,Alex K.
Gamma Brand,Bing,2024-05-21,PA_Retargeting_Seasonal_Q423,Paused creative Version 4 and launched new variant,Updated ad copy and CTAs,91%,Under observation,2024-05-21,John D.
Orion Systems,Social,2024-05-21,FSG_Awareness_Special_Jun24,Paused creative Version 2 and launched new variant,Updated ad copy and CTAs,87%,Under observation,2024-05-21,Alex K.
Echo Brand,Bing,2024-03-08,BW_Conversion_General_Sep24,Adjusted daily budget from $482 to $300,Redistributed budget across campaigns,86%,Implemented successfully,2024-03-08,Sarah M.
Core Global,Social,2024-03-26,AYN_Conversion_Seasonal_Dec22,Adjusted Mobile device bid by 10%,"Previous bid: $1.50, New bid: $2.00",96%,Implemented successfully,2024-03-26,Sarah M.
Echo Ventures,Bing,2024-08-29,ESJ_Conversion_Premium_Jan23,Updated CPA target from $29 to $22,Daily budget adjusted from $200 to $300,85%,Under observation,2024-08-29,John D.
Nexus International,Bing,2024-10-10,EF_Brand_Value_May23,Updated CPA target from $74 to $71,Daily budget adjusted from $200 to $300,89%,Under observation,2024-10-10,Mike R.
Iris Group,Social,2024-08-24,YC_Awareness_Special_Apr24,Added 50 negative keywords,Updated campaign targeting settings,87%,Under observation,2024-08-24,Emma L.
Vector Partners,Social,2024-01-07,NGX_Awareness_Value_Jun23,Created 2 new ad groups with focused keywords,Created 3 new ad groups,90%,Under observation,2024-01-07,Sarah M.
Gamma Brand,Bing,2024-05-19,PA_Engagement_Seasonal_Jul24,Created 3 new ad variations for testing,Updated ad copy and CTAs,89%,Implemented successfully,2024-05-19,Mike R.
