Brand/Title,Platform,Date ,Campaign,Optimization,Change(s),Optimization Score ,Results/Next step,Date Change(s) was made,Optimization made by,,,,,,,,
GDT,SEM,04-26-2022,Circ_Garden Gate - Feb 22,Bid Adjustment ,"Adgroup: brand v2        
65+        Bid decrease by 10
Unknown         Increase by 5
Audience brand v2        
Home Decor Enthusiasm(Affinity segment) - Bid decreased from +10 to 5
Food & Dining(Affinity segment) - Bid decreased from +10 to 5

Audience brand 2                
Food & Dining(Affinity segment)        Bid increase from +5 to 10        
Home Decor Enthusiasm(Affinity segment)        Bid decreased from +10 to 0        
Lower 50         Bid Decrease by 0 to -20        

Age brand v2                
65+    Bid decrease has no conversions and spend more 0 to -25        
                
Gender                
Female        Bid decrease by 0 to 20 has it spent more         
                
Household                
11 to 20        Bid decrease by 0 to 25 has it spent more         
31 to 40        Bid increase by 0 to 5        

Age brand 2        
Unknown         Bid decrease by 0 to -20
25 to 34        Bid increase by 0 to 10 has it has good conversion rate
        
Gender        
Female        Bid decrease by 0 to 20 has it spent more 
        
Household        
Unknown         Bid decrease by 0 to 25 has it spent more without results
Top 10         Bid increase by 0 to 10 
        
Devices        
Mobile         Bid decrease by +10 to -15
",,,04-26-2022,Hemanth,,SEM (May),,,,,,
GDT,Bing,05-19-2022,Circ_Garden Gate - Feb 22,Bid Adjustment ,"GDT cpc bid is increased and decrease for few keywords based on the performance

Made some bid adjustment in Device level, and demo level",,,05-19-2022,Hemanth,,"Summary 

Overall Insights: 
• Regular Bid Adjustments optimizations and changes (Keyword, DEMO, Geo, Device level)to improve the performance  
• Added Negative keyword to the list
• Tried with Performance max campaigns, and some of the campaigns are paused because of the low performance 
• Added Tier 1 a new ad group for the Circ campaign, the performance is low and the spent is high so the ad group is paused. 

Agenda for the following month:
• Will try with the Tier 2 keywords 
• Continue with the regular bid adjustments and changes (Keyword, DEMO, Geo, Device level)to improve the performance 
• Monitor the performance on a regular basis ",,,,,,
GDT,SEM,05-23-2022,Circ_Garden Gate - Feb 22,Added keywords,Added new keyword and created the ad group ,,,05-23-2022,Hemanth,,,,,,,,
GDT,SEM,05-31-2022,Circ_Garden Gate - Feb 22,Added keywords,SQR - Tier 1 ad group has spent $82 in last 7 days with 0 conv and impacting the CPA we have paused this ad group as the search terms are very generic which are not related to magazine subscription they are related to free ideas and images.,,,05-31-2022,Hemanth,,,,,,,,
GDT,SEM,05-31-2022,Performance max campaigns,Paused the campaign,"GDT_Plans_Max-May 22-Front Yard
GDT_Plans-Max-May22-Birds & Butterflies
Both the campaigns are paused as the performance was low. we spent more than $100 without any conversion ",,,05-31-2022,Hemanth,,SEM  (June),,,,,,
GDT,Bing,06-02-2022,Circ_Garden Gate - Feb 22,Bid Adjustment ,Brand v2 ad group has spent $35 in last 3 days with 1 conv. Made some bid adjustments in Audience and demographics level,,,06-02-2022,Hemanth, ,"Summary

Overall Insights: 
• We paused SQR Tier 1 Ad group due to performance. Tier 2 is still active but we haven't received any conversion yet.
• Regular Bid Adjustments optimizations and changes (Keyword, DEMO, Geo, Device level) to improve the performance  
• Added Negative keyword to the list

Agenda for the following month:
• Continue with the regular bid adjustments at Audience, Keyword and Demographics level.
• Monitor the performance on a regular basis ",,,,,,
GDT,SEM,06-07-2022,Performance max campaigns,Performance max Shade campaign,". Paused due to low performance 
. Overall we have spent $150 with 1 Conv. 
. Overall we got 6690 impressions and 289 clicks 
. we have tested with the ad copies that were shared by the client 
. We tested with the audience of HubSpot - CIRC - GDT - ACTIVE (Customer list)and All Converters (Google Ads) (Website visitors)",,,06-07-2022,Hemanth,,,,,,,,
GDT,SEM,06-10-2022,Performance max campaigns,Performance max Best_seller campaign,". Paused due to low performance 
. Overall we have spent $150 with 3 Conv. 
. Overall we got 9444 impressions and 317 clicks 
. we have tested with the ad copies that were shared by the client 
. We tested with the audience of HubSpot - CIRC - GDT - ACTIVE (Customer list)and All Converters (Google Ads) (Website visitors)",,,06-10-2022,Hemanth,,SEM (July),,,,,,
GDT,SEM,07-05-2022,Circ_Garden Gate - Feb 22,Bid Adjustment ,Bid increased for mobile device,,Under observation,06-10-2022,Hemanth,,"Summary 

Overall Insights: 
• Bid adjustment was done at the Device and Audience level.
• Overall CPA is maintained during the month of July.
• SQR tier 2 Ad group is paused as we didn't get any conversion from that.
• Redundant keywords were removed from the campaign as per Google Recommendations.

Agenda for the following month:
• Continue with the regular bid adjustments at Audience, Keyword and Demographics level.
• Monitor the performance on a regular basis ",,,,,,
GDT,Bing,07-14-2022,Circ_Garden Gate - Feb 22,Bid Adjustment ,"CPA was high for mobile device in last 14 days
Bid changed from 0% to -15%",,Under observation,07-14-2022,Hemanth,,,,,,,,
GDT,SEM,07-27-2022,Circ_Garden Gate - Feb 22,Ad group paused,SQR tier 2 paused as we didn't get any conversion from that.,,,07-27-2022,Gourav,,,,,,,,
GDT,Social,07-29-2022,CIRC | PWX GDT - Retargeting - Jan'22,Ad paused,In Website Visitors Retargeting - Evergreen – Copy we have paused GDT_Evergreen_Static_V1-V2 because it's not performing (last 14 days),,,07-29-2022,Lakshmish,,,,,,,,
GDT,Social,07-29-2022,CIRC | PWX GDT - Outbound - Jan'22,Ad paused,"In Interest Targeting 1- New-Jan'22 - July/Aug we have paused GDT_July/Aug_V3 because the spent is $47.56 and has 0 conversions (last 7 days)

",,,07-29-2022,Lakshmish,,,,,,,,
GDT,Social,08-05-2022,CIRC | PWX GDT - Outbound - Jan'22,Ad set paused,"We have paused the Interests - Gardening Only ad set as discussed on WF
",,,08-05-2022,Lakshmish,,,,,,,,
GDT,Social,08-08-2022,CIRC | PWX GDT - Retargeting - Jan'22,Ad paused ,In Website Visitors Retargeting - Evergreen – Copy we paused PWX_GDT_Evergreen_V8 because the spent is $46.42 and has 0 conversions (last  3 days),,,08-08-2022,Lakshmish,,,,,,,,
GDT,Social,08-15-2022,CIRC | PWX GDT - Retargeting - Jan'22,Ad set paused,We have paused Website Visitors Retargeting - Evergreen – Copy ad set because of the high CPA (last 7 days),,,08-15-2022,Lakshmish,,SEM (Aug),,,,,,
GDT,Social,08-15-2022,CIRC | PWX GDT - Outbound - Jan'22,Ad paused ,"In Competitors - Evergreen ad set we have paused Evergreen Video – V2 – Copy 3 creative because 0f the high CPA of $224.59 and has only 1 conversion
",,,08-15-2022,Lakshmish,,"Summary 

Overall Insights: 
• Redundant keywords were removed from the campaign as per Google Recommendations.
• Bid adjustment was done at the Audience Segment.


Agenda for the following month:
",,,,,,
GDT,SEM,08-14-2022,Circ_Garden Gate - Feb 22,Bid Adjustment ,"Bid increased for mobile device
5% to 10%",,Under observation,08-14-2022,Gourav,,,,,,,,
