Platform,Publisher,GoodsSold,GoodsName,Campaign_ID,CampaignName,PlatAccountNbr,CampaignDate,AmountSpent,PlatBResult,PlatValue,Impressions,Clicks,LPViews,LPViewCost,Leads,LeadCost,LinkClicks,FulfillmentOrders,FulfillmentRevenue
Google Shop,PUB_7d2deba6,Gamma Brand,KO,CAM-LLJ8YRDD,Brand_Value_Jan22,279-725-7643,2023-12-15,91.32,43,523.54,7314,135,0,0,0,0,0,23,345.0
Google Shop,PUB_7d2deba6,Gamma Brand,KO,CAM-LLJ8YRDD,Brand_Value_Jan22,279-725-7643,2024-06-12,84.43,12,136.66,5624,92,0,0,0,0,0,31,480.0
Google Shop,PUB_7d2deba6,Gamma Brand,KO,CAM-LLJ8YRDD,Brand_Value_Jan22,279-725-7643,2024-03-03,86.46,13,143.2,7075,95,0,0,0,0,0,8,120.0
Google Shop,PUB_7d2deba6,Gamma Brand,KO,CMPN-2582-57,Retargeting_Seasonal_Feb24,279-725-7643,2024-07-27,22.57,9,108.0,2767,40,0,0,0,0,0,0,0.0
Google Shop,PUB_7d2deba6,Gamma Brand,KO,CMPN-2582-57,Retargeting_Seasonal_Feb24,279-725-7643,2024-10-28,64.63,6,60.0,4961,82,0,0,0,0,0,0,0.0
Google Shop,PUB_7d2deba6,Gamma Brand,KO,CMPN-2582-57,Retargeting_Seasonal_Feb24,279-725-7643,2024-06-08,21.95,9,108.0,1600,39,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Nexus Holdings,BPN,CAM-UVULEMX1,Prospecting_Value_Sep24,ACCT-5061132227,2024-01-10,18.02,4,20.0,3491,142,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Nexus Holdings,BPN,CAM-UVULEMX1,Prospecting_Value_Sep24,ACCT-5061132227,2024-05-27,42.47,9,31.85,4602,153,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Nexus Holdings,BPN,CAM-UVULEMX1,Prospecting_Value_Sep24,ACCT-5061132227,2024-04-12,39.56,5,45.94,7635,162,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,TO,16-47700-714,Awareness_Value_Jun22,ACCT-3706601345,2024-03-05,93.18,13,456.99,488,69,0,0,0,0,0,13,455.0
Google,PUB_527cb9d6,Alpha Group,TO,16-47700-714,Retargeting_Special_Jul23,ACCT-3706601345,2024-07-19,24.67,2,72.0,213,29,0,0,0,0,0,1,36.0
Google,PUB_527cb9d6,Alpha Group,TO,16-47700-714,Retargeting_Special_Jul23,ACCT-3706601345,2024-09-02,58.15,3,108.0,393,42,0,0,0,0,0,3,108.0
Google,PUB_527cb9d6,Alpha Group,WWJ,CMPN-6761-23,Retargeting_Seasonal_Mar24,ACCT-3706601345,2024-09-04,21.74,0,0.0,22,7,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,BF,74-37884-258,Retargeting_Premium_Q323,PFM-888-6095,2024-07-16,29.01,1,19.96,66,18,0,0,0,0,0,3,64.88
Google,PUB_527cb9d6,Alpha Group,BF,74-37884-258,Retargeting_Premium_Q323,PFM-888-6095,2024-06-19,1.06,0,0.0,4,1,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,BF,74-37884-258,Retargeting_Premium_Q323,PFM-888-6095,2024-07-01,7.34,1,19.96,5,4,0,0,0,0,0,3,69.88
Google,PUB_527cb9d6,Alpha Group,QK,71-39392-967,Prospecting_Special_Jul22,ACCT-5061132227,2024-01-15,46.42,1,12.95,164,43,0,0,0,0,0,0,0.0
Google,PUB_527cb9d6,Alpha Group,QK,71-39392-967,Prospecting_Special_Jul22,ACCT-5061132227,2023-12-08,31.51,4,72.5,185,29,0,0,0,0,0,2,58.0
Google,PUB_527cb9d6,Alpha Group,QK,71-39392-967,Prospecting_Special_Jul22,ACCT-5061132227,2024-01-03,54.95,5,103.95,206,49,0,0,0,0,0,2,58.0
Google,PUB_527cb9d6,Alpha Group,QK,71-39392-967,Conversion_Value_Apr22,ACCT-5061132227,2024-08-22,8.18,0,0.0,49,5,0,0,0,0,0,1,31.0
