Group,BrandName,GoodsName,TCPA,MonthlyBudget
Misc,Angler's Journal,ANG,$60 ,"$2,000.00 "
Woodworking,WSM Plans,WSM Plans,$5 ,"$1,200.00 "
Home,Cuisine at Home,CSN,$29 ,"$4,000.00 "
Collectible,Numismatic News,NSM,$65 ,"$4,000.00 "
Woodworking,Woodsmith,WSM,$50 ,"$6,000.00 "
Marine,Passagemaker,PGM,$90 ,"$4,000.00 "
Woodworking,Popular Woodworking,PWW,$30 ,"$6,000.00 "
Writing,Writer's Digest,WDG,$33 ,"$12,000.00 "
Gardening,Horticulture,HCT,$25 ,"$5,000.00 "
Woodworking,ShopNotes,SHN,$25 ,"$8,000.00 "
Misc,Military Trader,MLT,,
Marine,Sail,SAL,$55 ,"$6,000.00 "
Home,Old House Journal,OHJ,$55 ,"$4,000.00 "
Gardening,Fine Gardening,FGN,$59 ,"$5,000.00 "
Gardening,Garden Gate,GDT,$35 ,"$6,000.00 "
Home,Log Home Living,LHL,$50 ,"$4,000.00 "
Marine,Soundings,SND,$80 ,"$2,000.00 "
Collectible,Antique Trader,AQT,$35 ,"$4,000.00 "
Home,Threads,THR,$58 ,"$2,000.00 "
Woodworking,Fine Woodworking,FWW,$66 ,"$9,500.00 "
Collectible,Bank Note Reporter,BNK,$90 ,"$2,000.00 "
Home,Fine Homebuilding,FHB,$66 ,"$7,500.00 "
Marine,Power & Motoryacht,PAM,$85 ,"$2,000.00 "
Collectible,Sports Collectors Digest,SDG,$65 ,"$4,000.00 "
Collectible,World Coin News,WCN,$100 ,"$2,000.00 "
Collectible,Old Cars Weekly,OLC,$50 ,"$2,000.00 "
Woodworking,Woodshop News,WDN,$50 ,"$2,000.00 "
Misc,NWF,NWF,$12 ,"$30,000.00 "
Misc,Essence,ESS,$12 ,"$3,000.00 "
Misc,America Media,AJR,$30 ,"$10,000.00 "
Misc,TIME,TIM,$12 ,"$1,000.00 "
